2023-11-25;Medio Pollo;5.00
2023-11-25;Posta De Gallina;1.00
2023-11-27;Pechuga Con Ala;2.00
2023-11-30;Chincaca;3.00
2023-11-30;Medio Pollo;3.00
2024-05-18;Huesos Corriente;1.00
2024-05-18;Pechuga Con Ala;2.00
2024-05-19;Chincaca;1.00
2024-05-19;Costilla Alta;4.00
2024-05-19;Higado De Pollo;5.00
2024-05-19;Posta de Pierna;3.00
2024-06-03;Conito;5.00
2024-06-03;Lomo de Cerdo;2.00
2024-06-03;Medio Pollo;3.00
2024-06-03;Menudo;5.00
2024-06-03;Pechuga Con Ala;7.00
2024-06-03;Posta de Corona;5.00
2024-06-03;Salchichon;5.00
2024-06-08;Pechuga Con Ala;6.00
2024-06-09;Pechuga Con Ala;5.00
2024-06-21;Crema Perfecta;3.00
2024-06-24;Lomo de Res;3.00
2024-06-24;Posta de Corona;3.00
2024-06-24;Queso;1.00
2024-07-02;Costilla de Cerdo;12.00
2024-07-02;Pechuga Con Ala;5.00
2024-07-02;Queso;3.00
2024-07-02;Salchichon;4.00
2024-07-03;Lomo de Res;10.00
2024-07-04;Centrolac leche entera 472 ml;4.00
2024-07-04;Conito;10.00
2024-07-04;Costilla de Cerdo;2.00
2024-07-04;Crema Perfecta;1.00
2024-07-04;Lomo de Res;3.00
2024-07-04;Posta de Corona;4.00
2024-07-07;Muslo Especial;10.00
2024-11-26;Centrolac leche entera 472 ml;2.39
2024-11-26;"Centrolac milk whole 1000 ml ";1.35
2024-11-26;Chincaca;2.34
2024-11-26;Chorizo Criollo;2.74
2024-11-26;Conito;2.22
2024-11-26;Costilla Alta;1.29
2024-11-26;Costilla de Cerdo;1.49
2024-11-26;Crema Perfecta;1.96
2024-11-26;Higado De Pollo;3.90
2024-11-26;Huesos Corriente;1.61
2024-11-26;Lomo de Cerdo;1.31
2024-11-26;Lomo de Res;1.84
2024-11-26;Medio Pollo;1.03
2024-11-26;Menudo;1.63
2024-11-26;Mortadela;3.37
2024-11-26;Muslo;1.12
2024-11-26;Muslo Especial;2.09
2024-11-26;Pechuga Con Ala;2.46
2024-11-26;Pechuga Especial;2.33
2024-11-26;Pierna Entera;1.82
2024-11-26;Pierna Especial;3.83
2024-11-26;Posta de Cerdo;2.80
2024-11-26;Posta de Corona;2.68
2024-11-26;Posta De Gallina;1.94
2024-11-26;Posta de Pierna;1.42
2024-11-26;Producto de Prueba;3.99
2024-11-26;Punta de Cacho;1.31
2024-11-26;Queso;3.40
2024-11-26;Salchicha;3.56
2024-11-26;Salchichon;3.79
2024-11-26;Sesina;1.73
2024-11-26;Titiles;2.77
2024-11-27;Centrolac leche entera 472 ml;2.35
2024-11-27;"Centrolac milk whole 1000 ml ";1.02
2024-11-27;Chincaca;2.49
2024-11-27;Chorizo Criollo;3.95
2024-11-27;Conito;3.86
2024-11-27;Costilla Alta;2.29
2024-11-27;Costilla de Cerdo;1.25
2024-11-27;Crema Perfecta;3.13
2024-11-27;Higado De Pollo;2.18
2024-11-27;Huesos Corriente;3.49
2024-11-27;Lomo de Cerdo;1.86
2024-11-27;Lomo de Res;1.13
2024-11-27;Medio Pollo;3.28
2024-11-27;Menudo;3.23
2024-11-27;Mortadela;1.24
2024-11-27;Muslo;1.99
2024-11-27;Muslo Especial;2.61
2024-11-27;Pechuga Con Ala;3.70
2024-11-27;Pechuga Especial;1.37
2024-11-27;Pierna Entera;2.30
2024-11-27;Pierna Especial;1.52
2024-11-27;Posta de Cerdo;3.55
2024-11-27;Posta de Corona;3.78
2024-11-27;Posta De Gallina;3.06
2024-11-27;Posta de Pierna;3.64
2024-11-27;Producto de Prueba;1.24
2024-11-27;Punta de Cacho;3.36
2024-11-27;Queso;2.11
2024-11-27;Salchicha;1.80
2024-11-27;Salchichon;2.40
2024-11-27;Sesina;2.69
2024-11-27;Titiles;2.59
2024-11-28;Centrolac leche entera 472 ml;1.73
2024-11-28;"Centrolac milk whole 1000 ml ";3.78
2024-11-28;Chincaca;1.28
2024-11-28;Chorizo Criollo;1.22
2024-11-28;Conito;2.78
2024-11-28;Costilla Alta;3.36
2024-11-28;Costilla de Cerdo;1.95
2024-11-28;Crema Perfecta;1.28
2024-11-28;Higado De Pollo;2.98
2024-11-28;Huesos Corriente;3.69
2024-11-28;Lomo de Cerdo;3.28
2024-11-28;Lomo de Res;2.96
2024-11-28;Medio Pollo;1.79
2024-11-28;Menudo;1.27
2024-11-28;Mortadela;2.59
2024-11-28;Muslo;3.91
2024-11-28;Muslo Especial;1.12
2024-11-28;Pechuga Con Ala;1.46
2024-11-28;Pechuga Especial;3.57
2024-11-28;Pierna Entera;2.86
2024-11-28;Pierna Especial;1.04
2024-11-28;Posta de Cerdo;3.64
2024-11-28;Posta de Corona;3.03
2024-11-28;Posta De Gallina;1.63
2024-11-28;Posta de Pierna;2.32
2024-11-28;Producto de Prueba;3.23
2024-11-28;Punta de Cacho;1.38
2024-11-28;Queso;3.15
2024-11-28;Salchicha;1.61
2024-11-28;Salchichon;3.62
2024-11-28;Sesina;3.81
2024-11-28;Titiles;1.27
2024-11-29;Centrolac leche entera 472 ml;3.12
2024-11-29;"Centrolac milk whole 1000 ml ";1.09
2024-11-29;Chincaca;2.98
2024-11-29;Chorizo Criollo;1.66
2024-11-29;Conito;3.34
2024-11-29;Costilla Alta;3.99
2024-11-29;Costilla de Cerdo;3.19
2024-11-29;Crema Perfecta;2.80
2024-11-29;Higado De Pollo;2.06
2024-11-29;Huesos Corriente;1.79
2024-11-29;Lomo de Cerdo;3.90
2024-11-29;Lomo de Res;1.63
2024-11-29;Medio Pollo;3.07
2024-11-29;Menudo;2.70
2024-11-29;Mortadela;2.97
2024-11-29;Muslo;3.29
2024-11-29;Muslo Especial;2.45
2024-11-29;Pechuga Con Ala;1.49
2024-11-29;Pechuga Especial;2.82
2024-11-29;Pierna Entera;3.87
2024-11-29;Pierna Especial;1.04
2024-11-29;Posta de Cerdo;2.45
2024-11-29;Posta de Corona;1.87
2024-11-29;Posta De Gallina;1.81
2024-11-29;Posta de Pierna;3.57
2024-11-29;Producto de Prueba;3.81
2024-11-29;Punta de Cacho;3.71
2024-11-29;Queso;2.44
2024-11-29;Salchicha;3.98
2024-11-29;Salchichon;3.92
2024-11-29;Sesina;3.30
2024-11-29;Titiles;1.28
2024-11-30;Centrolac leche entera 472 ml;2.94
2024-11-30;"Centrolac milk whole 1000 ml ";3.54
2024-11-30;Chincaca;3.15
2024-11-30;Chorizo Criollo;3.81
2024-11-30;Conito;3.46
2024-11-30;Costilla Alta;3.40
2024-11-30;Costilla de Cerdo;4.20
2024-11-30;Crema Perfecta;3.43
2024-11-30;Higado De Pollo;6.19
2024-11-30;Huesos Corriente;3.95
2024-11-30;Lomo de Cerdo;1.66
2024-11-30;Lomo de Res;3.06
2024-11-30;Medio Pollo;1.07
2024-11-30;Menudo;3.49
2024-11-30;Mortadela;1.82
2024-11-30;Muslo;1.54
2024-11-30;Muslo Especial;3.74
2024-11-30;Pechuga Con Ala;1.03
2024-11-30;Pechuga Especial;2.49
2024-11-30;Pierna Entera;3.13
2024-11-30;Pierna Especial;3.35
2024-11-30;Posta de Cerdo;3.44
2024-11-30;Posta de Corona;1.84
2024-11-30;Posta De Gallina;3.50
2024-11-30;Posta de Pierna;2.87
2024-11-30;Producto de Prueba;3.73
2024-11-30;Punta de Cacho;1.80
2024-11-30;Queso;2.39
2024-11-30;Salchicha;1.21
2024-11-30;Salchichon;1.23
2024-11-30;Sesina;2.41
2024-11-30;Titiles;2.35
2024-12-01;Centrolac leche entera 472 ml;1.48
2024-12-01;"Centrolac milk whole 1000 ml ";2.89
2024-12-01;Chincaca;2.80
2024-12-01;Chorizo Criollo;2.16
2024-12-01;Conito;3.65
2024-12-01;Costilla Alta;3.40
2024-12-01;Costilla de Cerdo;3.24
2024-12-01;Crema Perfecta;2.73
2024-12-01;Higado De Pollo;1.44
2024-12-01;Huesos Corriente;1.74
2024-12-01;Lomo de Cerdo;3.64
2024-12-01;Lomo de Res;2.34
2024-12-01;Medio Pollo;3.86
2024-12-01;Menudo;1.05
2024-12-01;Mortadela;3.25
2024-12-01;Muslo;3.69
2024-12-01;Muslo Especial;3.19
2024-12-01;Pechuga Con Ala;2.74
2024-12-01;Pechuga Especial;1.69
2024-12-01;Pierna Entera;3.45
2024-12-01;Pierna Especial;3.15
2024-12-01;Posta de Cerdo;2.11
2024-12-01;Posta de Corona;2.25
2024-12-01;Posta De Gallina;3.12
2024-12-01;Posta de Pierna;3.34
2024-12-01;Producto de Prueba;3.42
2024-12-01;Punta de Cacho;3.95
2024-12-01;Queso;3.06
2024-12-01;Salchicha;2.34
2024-12-01;Salchichon;2.21
2024-12-01;Sesina;3.24
2024-12-01;Titiles;1.56
2024-12-02;Centrolac leche entera 472 ml;1.41
2024-12-02;"Centrolac milk whole 1000 ml ";2.51
2024-12-02;Chincaca;3.15
2024-12-02;Chorizo Criollo;1.49
2024-12-02;Conito;1.69
2024-12-02;Costilla Alta;1.41
2024-12-02;Costilla de Cerdo;1.17
2024-12-02;Crema Perfecta;2.39
2024-12-02;Higado De Pollo;3.70
2024-12-02;Huesos Corriente;3.32
2024-12-02;Lomo de Cerdo;1.62
2024-12-02;Lomo de Res;3.30
2024-12-02;Medio Pollo;2.35
2024-12-02;Menudo;1.44
2024-12-02;Mortadela;3.37
2024-12-02;Muslo;3.39
2024-12-02;Muslo Especial;1.12
2024-12-02;Pechuga Con Ala;1.44
2024-12-02;Pechuga Especial;3.22
2024-12-02;Pierna Entera;2.83
2024-12-02;Pierna Especial;1.92
2024-12-02;Posta de Cerdo;3.49
2024-12-02;Posta de Corona;2.39
2024-12-02;Posta De Gallina;1.12
2024-12-02;Posta de Pierna;3.96
2024-12-02;Producto de Prueba;1.26
2024-12-02;Punta de Cacho;1.94
2024-12-02;Queso;3.07
2024-12-02;Salchicha;2.97
2024-12-02;Salchichon;2.78
2024-12-02;Sesina;3.17
2024-12-02;Titiles;2.81
2024-12-03;Centrolac leche entera 472 ml;2.60
2024-12-03;"Centrolac milk whole 1000 ml ";3.86
2024-12-03;Chincaca;3.08
2024-12-03;Chorizo Criollo;2.45
2024-12-03;Conito;2.76
2024-12-03;Costilla Alta;1.07
2024-12-03;Costilla de Cerdo;1.37
2024-12-03;Crema Perfecta;2.76
2024-12-03;Higado De Pollo;4.00
2024-12-03;Huesos Corriente;1.04
2024-12-03;Lomo de Cerdo;1.45
2024-12-03;Lomo de Res;3.09
2024-12-03;Medio Pollo;3.53
2024-12-03;Menudo;3.25
2024-12-03;Mortadela;3.02
2024-12-03;Muslo;3.41
2024-12-03;Muslo Especial;1.44
2024-12-03;Pechuga Con Ala;2.68
2024-12-03;Pechuga Especial;3.93
2024-12-03;Pierna Entera;3.89
2024-12-03;Pierna Especial;2.80
2024-12-03;Posta de Cerdo;3.68
2024-12-03;Posta de Corona;1.40
2024-12-03;Posta De Gallina;2.84
2024-12-03;Posta de Pierna;2.26
2024-12-03;Producto de Prueba;3.47
2024-12-03;Punta de Cacho;1.77
2024-12-03;Queso;2.09
2024-12-03;Salchicha;2.96
2024-12-03;Salchichon;2.02
2024-12-03;Sesina;3.90
2024-12-03;Titiles;2.51
2024-12-04;Centrolac leche entera 472 ml;3.84
2024-12-04;"Centrolac milk whole 1000 ml ";3.40
2024-12-04;Chincaca;3.33
2024-12-04;Chorizo Criollo;2.68
2024-12-04;Conito;3.00
2024-12-04;Costilla Alta;3.15
2024-12-04;Costilla de Cerdo;1.72
2024-12-04;Crema Perfecta;1.10
2024-12-04;Higado De Pollo;3.42
2024-12-04;Huesos Corriente;3.29
2024-12-04;Lomo de Cerdo;1.93
2024-12-04;Lomo de Res;2.10
2024-12-04;Medio Pollo;2.64
2024-12-04;Menudo;2.55
2024-12-04;Mortadela;1.29
2024-12-04;Muslo;3.36
2024-12-04;Muslo Especial;3.45
2024-12-04;Pechuga Con Ala;3.91
2024-12-04;Pechuga Especial;1.39
2024-12-04;Pierna Entera;1.55
2024-12-04;Pierna Especial;1.77
2024-12-04;Posta de Cerdo;2.68
2024-12-04;Posta de Corona;1.04
2024-12-04;Posta De Gallina;3.08
2024-12-04;Posta de Pierna;2.19
2024-12-04;Producto de Prueba;3.93
2024-12-04;Punta de Cacho;2.40
2024-12-04;Queso;1.36
2024-12-04;Salchicha;1.36
2024-12-04;Salchichon;2.50
2024-12-04;Sesina;4.00
2024-12-04;Titiles;2.23
2024-12-05;Centrolac leche entera 472 ml;2.15
2024-12-05;"Centrolac milk whole 1000 ml ";1.35
2024-12-05;Chincaca;1.55
2024-12-05;Chorizo Criollo;3.56
2024-12-05;Conito;3.28
2024-12-05;Costilla Alta;1.62
2024-12-05;Costilla de Cerdo;2.84
2024-12-05;Crema Perfecta;2.41
2024-12-05;Higado De Pollo;1.60
2024-12-05;Huesos Corriente;3.77
2024-12-05;Lomo de Cerdo;3.51
2024-12-05;Lomo de Res;3.58
2024-12-05;Medio Pollo;3.78
2024-12-05;Menudo;2.41
2024-12-05;Mortadela;1.29
2024-12-05;Muslo;1.99
2024-12-05;Muslo Especial;1.90
2024-12-05;Pechuga Con Ala;2.26
2024-12-05;Pechuga Especial;3.85
2024-12-05;Pierna Entera;3.70
2024-12-05;Pierna Especial;1.19
2024-12-05;Posta de Cerdo;1.11
2024-12-05;Posta de Corona;3.60
2024-12-05;Posta De Gallina;1.26
2024-12-05;Posta de Pierna;1.52
2024-12-05;Producto de Prueba;1.67
2024-12-05;Punta de Cacho;2.62
2024-12-05;Queso;2.25
2024-12-05;Salchicha;2.79
2024-12-05;Salchichon;1.70
2024-12-05;Sesina;3.86
2024-12-05;Titiles;2.15
2024-12-06;Centrolac leche entera 472 ml;3.46
2024-12-06;"Centrolac milk whole 1000 ml ";2.19
2024-12-06;Chincaca;1.53
2024-12-06;Chorizo Criollo;1.65
2024-12-06;Conito;3.48
2024-12-06;Costilla Alta;1.09
2024-12-06;Costilla de Cerdo;3.06
2024-12-06;Crema Perfecta;1.17
2024-12-06;Higado De Pollo;2.71
2024-12-06;Huesos Corriente;3.14
2024-12-06;Lomo de Cerdo;2.84
2024-12-06;Lomo de Res;1.85
2024-12-06;Medio Pollo;2.16
2024-12-06;Menudo;3.99
2024-12-06;Mortadela;3.62
2024-12-06;Muslo;3.47
2024-12-06;Muslo Especial;2.86
2024-12-06;Pechuga Con Ala;1.02
2024-12-06;Pechuga Especial;1.47
2024-12-06;Pierna Entera;3.44
2024-12-06;Pierna Especial;1.60
2024-12-06;Posta de Cerdo;1.79
2024-12-06;Posta de Corona;1.70
2024-12-06;Posta De Gallina;2.62
2024-12-06;Posta de Pierna;3.05
2024-12-06;Producto de Prueba;3.62
2024-12-06;Punta de Cacho;1.43
2024-12-06;Queso;2.38
2024-12-06;Salchicha;2.91
2024-12-06;Salchichon;2.08
2024-12-06;Sesina;1.81
2024-12-06;Titiles;3.86
2024-12-07;Centrolac leche entera 472 ml;3.43
2024-12-07;"Centrolac milk whole 1000 ml ";2.24
2024-12-07;Chincaca;3.97
2024-12-07;Chorizo Criollo;1.59
2024-12-07;Conito;1.46
2024-12-07;Costilla Alta;3.77
2024-12-07;Costilla de Cerdo;3.54
2024-12-07;Crema Perfecta;3.65
2024-12-07;Higado De Pollo;3.00
2024-12-07;Huesos Corriente;2.14
2024-12-07;Lomo de Cerdo;3.05
2024-12-07;Lomo de Res;1.52
2024-12-07;Medio Pollo;1.05
2024-12-07;Menudo;3.84
2024-12-07;Mortadela;2.67
2024-12-07;Muslo;3.27
2024-12-07;Muslo Especial;2.92
2024-12-07;Pechuga Con Ala;1.91
2024-12-07;Pechuga Especial;2.86
2024-12-07;Pierna Entera;1.22
2024-12-07;Pierna Especial;2.13
2024-12-07;Posta de Cerdo;2.60
2024-12-07;Posta de Corona;1.78
2024-12-07;Posta De Gallina;2.45
2024-12-07;Posta de Pierna;1.58
2024-12-07;Producto de Prueba;3.37
2024-12-07;Punta de Cacho;2.44
2024-12-07;Queso;2.47
2024-12-07;Salchicha;1.19
2024-12-07;Salchichon;3.95
2024-12-07;Sesina;3.98
2024-12-07;Titiles;1.16
2024-12-08;Centrolac leche entera 472 ml;2.75
2024-12-08;"Centrolac milk whole 1000 ml ";2.93
2024-12-08;Chincaca;2.56
2024-12-08;Chorizo Criollo;3.56
2024-12-08;Conito;2.65
2024-12-08;Costilla Alta;1.77
2024-12-08;Costilla de Cerdo;1.99
2024-12-08;Crema Perfecta;1.50
2024-12-08;Higado De Pollo;1.56
2024-12-08;Huesos Corriente;3.81
2024-12-08;Lomo de Cerdo;3.72
2024-12-08;Lomo de Res;1.12
2024-12-08;Medio Pollo;2.54
2024-12-08;Menudo;3.21
2024-12-08;Mortadela;3.38
2024-12-08;Muslo;1.57
2024-12-08;Muslo Especial;3.02
2024-12-08;Pechuga Con Ala;1.31
2024-12-08;Pechuga Especial;3.71
2024-12-08;Pierna Entera;1.99
2024-12-08;Pierna Especial;3.34
2024-12-08;Posta de Cerdo;2.77
2024-12-08;Posta de Corona;1.89
2024-12-08;Posta De Gallina;2.00
2024-12-08;Posta de Pierna;1.21
2024-12-08;Producto de Prueba;3.79
2024-12-08;Punta de Cacho;1.30
2024-12-08;Queso;1.09
2024-12-08;Salchicha;3.55
2024-12-08;Salchichon;2.83
2024-12-08;Sesina;2.83
2024-12-08;Titiles;2.57
